TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.apache.commons.lang3.StringUtils,BRANCH,0.937447168216399,1183,1109
org.apache.commons.lang.Entities,BRANCH,0.8387096774193549,93,77
org.apache.commons.lang.text.ExtendedMessageFormat,BRANCH,0.5121951219512195,123,63
org.apache.commons.lang.NumberUtils,BRANCH,0.8870292887029289,239,212
org.apache.commons.lang.WordUtils,BRANCH,0.990909090909091,110,109
org.apache.commons.lang.StringEscapeUtils,BRANCH,0.9357142857142857,140,121
org.apache.commons.lang.text.StrBuilder,BRANCH,0.99822695035461,564,563
org.apache.commons.lang.builder.EqualsBuilder,BRANCH,0.9396551724137931,232,218
org.apache.commons.lang.math.Fraction,BRANCH,0.9545454545454546,198,188
org.apache.commons.lang.time.FastDateFormat,BRANCH,0.8288288288288288,444,362
org.apache.commons.lang.BooleanUtils,BRANCH,0.8968609865470852,223,201
org.apache.commons.lang.StringEscapeUtils,BRANCH,0.9137931034482759,116,94
org.apache.commons.lang.time.DateUtils,BRANCH,0.9805825242718447,206,202
org.apache.commons.lang.LocaleUtils,BRANCH,1.0,73,73
org.apache.commons.lang.time.StopWatch,BRANCH,0.96875,32,31
org.apache.commons.lang.time.FastDateFormat,BRANCH,0.8392857142857143,448,376
org.apache.commons.lang.LocaleUtils,BRANCH,1.0,71,71
org.apache.commons.lang.math.NumberUtils,BRANCH,0.9002267573696145,441,397
org.apache.commons.lang.text.StrBuilder,BRANCH,0.9961315280464217,517,515
org.apache.commons.lang.text.StrBuilder,BRANCH,0.9961315280464217,517,513
org.apache.commons.lang.text.StrBuilder,BRANCH,0.9922630560928434,517,513
org.apache.commons.lang.Entities,BRANCH,0.811965811965812,117,95
org.apache.commons.lang.time.DurationFormatUtils,BRANCH,0.9225806451612903,155,143
org.apache.commons.lang.enums.ValuedEnum,BRANCH,0.11764705882352941,17,2
org.apache.commons.lang.time.DateUtils,BRANCH,0.9854368932038835,206,203
org.apache.commons.lang3.math.NumberUtils,BRANCH,0.9110512129380054,371,337
org.apache.commons.lang3.math.NumberUtils,BRANCH,0.8551532033426184,359,307
org.apache.commons.lang3.text.translate.LookupTranslator,BRANCH,1.0,14,14
org.apache.commons.lang3.LocaleUtils,BRANCH,1.0,79,63
org.apache.commons.lang3.text.translate.CharSequenceTranslator,BRANCH,1.0,15,15
org.apache.commons.lang3.math.NumberUtils,BRANCH,0.9328165374677002,387,361
org.apache.commons.lang3.time.FastDatePrinter,BRANCH,0.7655367231638418,354,271
org.apache.commons.lang3.time.FastDateParser,BRANCH,0.7932011331444759,353,278
org.apache.commons.lang3.time.FastDateParser,BRANCH,0.7863247863247863,351,274
org.apache.commons.lang3.RandomStringUtils,BRANCH,0.9692307692307692,65,63
org.apache.commons.lang3.RandomStringUtils,BRANCH,0.9682539682539683,63,61
org.apache.commons.lang3.SerializationUtils,BRANCH,0.68,25,17
org.apache.commons.lang3.StringUtils,BRANCH,0.9307432432432432,1184,1102
org.apache.commons.lang3.reflect.TypeUtils,BRANCH,0.36054421768707484,294,106
org.apache.commons.lang3.math.NumberUtils,BRANCH,0.9138381201044387,383,350
org.apache.commons.lang3.text.translate.CharSequenceTranslator,BRANCH,1.0,15,15
org.apache.commons.lang3.time.FastDateFormat,BRANCH,0.8368983957219251,374,291
org.apache.commons.lang3.text.translate.NumericEntityUnescaper,BRANCH,0.8974358974358975,39,35
org.apache.commons.lang3.StringUtils,BRANCH,0.9340659340659341,1183,1105
org.apache.commons.lang.Entities,BRANCH,0.8387096774193549,93,78
org.apache.commons.lang.text.ExtendedMessageFormat,BRANCH,0.43902439024390244,123,54
org.apache.commons.lang.NumberUtils,BRANCH,0.8535564853556485,239,204
org.apache.commons.lang.WordUtils,BRANCH,0.990909090909091,110,109
org.apache.commons.lang.StringEscapeUtils,BRANCH,0.9357142857142857,140,121
org.apache.commons.lang.text.StrBuilder,BRANCH,0.99822695035461,564,563
org.apache.commons.lang.builder.EqualsBuilder,BRANCH,0.9396551724137931,232,218
org.apache.commons.lang.math.Fraction,BRANCH,0.9595959595959596,198,189
org.apache.commons.lang.time.FastDateFormat,BRANCH,0.8265765765765766,444,364
org.apache.commons.lang.BooleanUtils,BRANCH,0.8834080717488789,223,200
org.apache.commons.lang.StringEscapeUtils,BRANCH,0.9137931034482759,116,94
org.apache.commons.lang.time.DateUtils,BRANCH,0.9805825242718447,206,202
org.apache.commons.lang.LocaleUtils,BRANCH,1.0,73,73
org.apache.commons.lang.time.StopWatch,BRANCH,0.96875,32,31
org.apache.commons.lang.time.FastDateFormat,BRANCH,0.8392857142857143,448,376
org.apache.commons.lang.LocaleUtils,BRANCH,1.0,71,71
org.apache.commons.lang.math.NumberUtils,BRANCH,0.8820861678004536,441,389
org.apache.commons.lang.text.StrBuilder,BRANCH,0.9961315280464217,517,515
org.apache.commons.lang.text.StrBuilder,BRANCH,0.9922630560928434,517,513
org.apache.commons.lang.text.StrBuilder,BRANCH,1.0,517,517
org.apache.commons.lang.Entities,BRANCH,0.811965811965812,117,95
